district_number,district_name,votes,non_pcp_votes,party,GPO,NDP,LIB,PCP,pcp_lead,flip,votes_flip,party_flip
090,St. Catharines,51650.0,34297.0,NDP,1923.0,18911.0,12671.0,17353.0,-16944.0,True,34297,NON-PCP
091,Sarnia—Lambton,50830.0,24019.0,PCP,1856.0,18995.0,2246.0,26811.0,2792.0,False,50830,PCP
092,Sault Ste. Marie,32117.0,18619.0,PCP,1044.0,13084.0,3199.0,13498.0,-5121.0,True,18619,NON-PCP
093,Scarborough—Agincourt,36871.0,18289.0,PCP,635.0,6434.0,10429.0,18582.0,293.0,False,36871,PCP
094,Scarborough Centre,39704.0,24438.0,PCP,919.0,13247.0,8791.0,15266.0,-9172.0,True,24438,NON-PCP
095,Scarborough—Guildwood,35905.0,24007.0,LIB,878.0,9917.0,11972.0,11898.0,-12109.0,True,24007,NON-PCP
096,Scarborough North,34113.0,16700.0,PCP,543.0,8320.0,7519.0,17413.0,713.0,False,34113,PCP
097,Scarborough—Rouge Park,42015.0,25791.0,PCP,1014.0,15261.0,8785.0,16224.0,-9567.0,True,25791,NON-PCP
098,Scarborough Southwest,43443.0,29878.0,NDP,1174.0,19835.0,8228.0,13565.0,-16313.0,True,29878,NON-PCP
099,Simcoe—Grey,60963.0,26869.0,PCP,4192.0,13444.0,8780.0,34094.0,7225.0,False,60963,PCP
100,Simcoe North,53789.0,28553.0,PCP,3632.0,15078.0,9523.0,25236.0,-3317.0,True,28553,NON-PCP
101,Spadina—Fort York,49731.0,38897.0,NDP,1815.0,24677.0,11770.0,10834.0,-28063.0,True,38897,NON-PCP
102,Stormont—Dundas—South Glengarry,43538.0,16758.0,PCP,1596.0,9416.0,5386.0,26780.0,10022.0,False,43538,PCP
103,Sudbury,36167.0,27762.0,NDP,1504.0,17386.0,8108.0,8405.0,-19357.0,True,27762,NON-PCP
104,Thornhill,47259.0,18370.0,PCP,1043.0,9134.0,6985.0,28889.0,10519.0,False,47259,PCP
105,Thunder Bay—Atikokan,32525.0,24970.0,NDP,880.0,11793.0,11712.0,7555.0,-17415.0,True,24970,NON-PCP
106,Thunder Bay—Superior North,30035.0,24640.0,LIB,838.0,11160.0,11973.0,5395.0,-19245.0,True,24640,NON-PCP
107,Timiskaming—Cochrane,27461.0,21301.0,NDP,723.0,16806.0,2476.0,6160.0,-15141.0,True,21301,NON-PCP
108,Timmins,15633.0,10999.0,NDP,273.0,8978.0,1378.0,4634.0,-6365.0,True,10999,NON-PCP
109,Toronto Centre,44148.0,37914.0,NDP,1377.0,23688.0,11986.0,6234.0,-31680.0,True,37914,NON-PCP
110,Toronto—Danforth,51269.0,43138.0,NDP,2248.0,32938.0,7216.0,8131.0,-35007.0,True,43138,NON-PCP
111,Toronto—St. Paul's,52402.0,38622.0,NDP,1690.0,18843.0,17498.0,13780.0,-24842.0,True,38622,NON-PCP
112,University—Rosedale,49412.0,38981.0,NDP,2652.0,24537.0,10898.0,10431.0,-28550.0,True,38981,NON-PCP
113,Vaughan—Woodbridge,42946.0,21259.0,PCP,972.0,6254.0,13742.0,21687.0,428.0,False,42946,PCP
114,Waterloo,54044.0,37071.0,NDP,2613.0,27315.0,6577.0,16973.0,-20098.0,True,37071,NON-PCP
115,Wellington—Halton Hills,58624.0,26965.0,PCP,5066.0,14087.0,7492.0,31659.0,4694.0,False,58624,PCP
116,Whitby,57796.0,31325.0,PCP,1958.0,21158.0,7441.0,26471.0,-4854.0,True,31325,NON-PCP
117,Willowdale,40646.0,22914.0,PCP,932.0,10481.0,10815.0,17732.0,-5182.0,True,22914,NON-PCP
118,Windsor—Tecumseh,43183.0,31506.0,NDP,1909.0,25221.0,3513.0,11677.0,-19829.0,True,31506,NON-PCP
119,Windsor West,38899.0,27826.0,NDP,1393.0,20276.0,5722.0,11073.0,-16753.0,True,27826,NON-PCP
120,York Centre,36761.0,18327.0,PCP,843.0,8617.0,7865.0,18434.0,107.0,False,36761,PCP
121,York—Simcoe,45491.0,19441.0,PCP,2195.0,10655.0,6182.0,26050.0,6609.0,False,45491,PCP
122,York South—Weston,37298.0,25008.0,NDP,946.0,13455.0,10379.0,12290.0,-12718.0,True,25008,NON-PCP
123,Kiiwetinoong,6477.0,4712.0,NDP,406.0,3232.0,983.0,1765.0,-2947.0,True,4712,NON-PCP
124,Mushkegowuk—James Bay,9324.0,6529.0,NDP,167.0,4827.0,1332.0,2795.0,-3734.0,True,6529,NON-PCP
